172.18.0.1 - - [03/Dec/2025:07:22:21 +0000] "GET / HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:22:24 +0000] "GET /Ubicua HTTP/1.1" 302 -
172.18.0.1 - - [03/Dec/2025:07:22:25 +0000] "POST /ServerExampleUbicomp/GetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:22:29 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:23:52 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:23:52 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:23:52 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:23:52 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:23:53 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:23:53 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:23:53 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:04 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:04 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:04 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:04 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:05 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:05 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:05 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:05 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:05 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
172.18.0.1 - - [03/Dec/2025:07:24:05 +0000] "POST /UbicompServerExample/SetData HTTP/1.1" 404 683
